ID,Facultad,Horas_Sueno,Promedio_Notas,Actividad_Fisica
1,Artes,7.6,6.4,Medio
2,Sociales,6.8,4.33,Medio
3,Ingeniería,6.3,4.18,Bajo
4,Artes,6.0,2.45,Medio
5,Artes,4.3,1.56,Bajo
6,Sociales,5.4,6.38,Bajo
7,Ingeniería,5.8,6.4,Alto
8,Ingeniería,8.1,5.3,Bajo
9,Artes,7.0,3.53,Bajo
10,Salud,3.9,3.1,Medio
11,Artes,7.0,5.86,Medio
12,Artes,5.9,6.38,Bajo
13,Artes,5.5,6.32,Medio
14,Artes,7.4,6.18,Bajo
15,Sociales,8.0,5.35,Bajo
16,Ingeniería,7.9,2.0,Medio
17,Sociales,5.2,1.97,Medio
18,Sociales,6.0,6.39,Medio
19,Sociales,7.0,5.14,Medio
20,Artes,8.0,1.56,Alto
21,Salud,5.8,1.61,Medio
22,Ingeniería,6.2,4.98,Bajo
23,Salud,4.8,1.03,Medio
24,Sociales,4.7,1.96,Bajo
25,Sociales,7.7,4.79,Medio
26,Salud,8.5,5.65,Bajo
27,Salud,6.4,4.91,Bajo
28,Salud,8.0,2.85,Alto
29,Sociales,7.0,5.77,Alto
30,Sociales,5.5,2.42,Medio
31,Ingeniería,7.0,3.45,Medio
32,Ingeniería,8.8,5.98,Bajo
33,Sociales,6.4,4.9,Bajo
34,Salud,8.8,6.6,Bajo
35,Salud,2.6,4.95,Medio
36,Ingeniería,7.7,4.91,Medio
37,Sociales,6.6,1.56,Medio
38,Ingeniería,6.1,3.21,Bajo
39,Ingeniería,6.6,2.59,Alto
40,Artes,3.5,2.46,Medio
41,Artes,6.2,6.84,Medio
42,Artes,7.0,3.86,Medio
43,Salud,8.7,6.85,Medio
44,Sociales,5.7,4.79,Bajo
45,Sociales,5.3,5.77,Bajo
46,Sociales,5.7,4.02,Medio
47,Sociales,7.9,4.96,Bajo
48,Artes,7.0,4.46,Bajo
49,Salud,5.7,2.17,Bajo
50,Salud,7.3,5.83,Bajo
51,Artes,6.6,2.68,Alto
52,Salud,8.0,1.65,Medio
53,Artes,5.4,4.87,Medio
54,Sociales,6.0,2.06,Bajo
55,Artes,5.9,6.64,Medio
56,Sociales,4.3,6.72,Medio
57,Sociales,6.9,6.49,Bajo
58,Ingeniería,6.9,3.22,Medio
59,Artes,6.5,1.09,Bajo
60,Ingeniería,6.1,6.57,Medio
61,Artes,4.4,3.57,Medio
62,Artes,5.9,6.8,Bajo
63,Ingeniería,6.0,6.78,Bajo
64,Ingeniería,5.3,6.12,Medio
65,Artes,6.3,2.77,Medio
66,Salud,7.1,3.81,Alto
67,Sociales,9.3,6.61,Medio
68,Ingeniería,6.8,2.9,Bajo
69,Sociales,6.9,2.02,Bajo
70,Salud,6.4,4.34,Medio
71,Salud,3.6,6.62,Bajo
72,Salud,6.5,5.18,Medio
73,Ingeniería,6.6,4.42,Alto
74,Salud,10.2,2.08,Medio
75,Ingeniería,6.2,4.69,Bajo
76,Salud,7.0,7.0,Medio
77,Sociales,6.4,1.84,Medio
78,Sociales,4.7,4.11,Medio
79,Artes,8.2,6.76,Alto
80,Sociales,7.6,5.94,Bajo
81,Artes,7.7,5.68,Alto
82,Sociales,5.1,5.21,Alto
83,Ingeniería,8.6,3.66,Bajo
84,Sociales,4.4,2.76,Bajo
85,Artes,7.4,6.36,Bajo
86,Artes,9.8,6.36,Bajo
87,Salud,5.0,6.2,Bajo
88,Ingeniería,5.7,6.48,Medio
89,Sociales,6.6,4.07,Bajo
90,Salud,5.7,4.01,Bajo
91,Sociales,4.2,5.79,Alto
92,Sociales,6.6,4.9,Bajo
93,Salud,4.9,5.21,Alto
94,Salud,7.2,6.27,Bajo
95,Salud,5.1,6.34,Bajo
96,Salud,8.8,3.53,Medio
97,Salud,5.3,3.25,Medio
98,Sociales,6.0,1.56,Alto
99,Salud,7.7,4.97,Medio
100,Ingeniería,4.7,1.22,Alto
